dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
dis,0,n,3339,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,averaged_inverse_square,10,0,0.5403225806451613,0.9949238578680203,0.5355191256830601,0.6962699822380106
dis,0,n,3339,euclidean,averaged_inverse_square,10,1,0.555256064690027,1.0,0.5491803278688525,0.7089947089947091
dis,0,n,3339,euclidean,averaged_inverse_square,10,2,0.5768194070080862,1.0,0.5710382513661202,0.7269565217391305
dis,0,n,3339,euclidean,averaged_inverse_square,10,3,0.522911051212938,1.0,0.5150684931506849,0.6799276672694393
dis,0,n,3339,euclidean,averaged_inverse_square,10,4,0.5390835579514824,0.9948979591836735,0.5342465753424658,0.6951871657754011
dis,0,n,3339,euclidean,averaged_inverse_square,10,5,0.5283018867924528,1.0,0.5205479452054794,0.6846846846846847
dis,0,n,3339,euclidean,averaged_inverse_square,10,6,0.5336927223719676,0.9948453608247423,0.5287671232876713,0.6905187835420393
dis,0,n,3339,euclidean,averaged_inverse_square,10,7,0.5929919137466307,1.0,0.5863013698630137,0.7392055267702936
dis,0,n,3339,euclidean,averaged_inverse_square,10,8,0.6064690026954178,1.0,0.6,0.7499999999999999
dis,0,n,3339,euclidean,averaged_inverse_square,10,9,0.5417789757412399,0.9949238578680203,0.536986301369863,0.6975088967971531
dis,1,5,5,euclidean,majority,10,0,0.9811827956989247,0.9838274932614556,0.9972677595628415,0.9905020352781547
dis,1,5,5,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,1,5,5,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,1,5,5,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,5,5,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,5,5,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,5,5,euclidean,majority,10,6,0.9838274932614556,0.986449864498645,0.9972602739726028,0.9918256130790192
dis,1,5,5,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,5,5,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,5,5,euclidean,majority,10,9,0.9838274932614556,0.986449864498645,0.9972602739726028,0.9918256130790192
dis,1,sqrt(n),57,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,1,sqrt(n),57,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,1,sqrt(n),57,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,1,sqrt(n),57,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,sqrt(n),57,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,1,n,3339,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,1,n,3339,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
