dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
wine_quality_white,1,n,3564,euclidean,majority,10,3,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,1,n,3564,euclidean,majority,10,4,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,1,n,3564,euclidean,majority,10,5,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,1,n,3564,euclidean,majority,10,6,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,1,n,3564,euclidean,majority,10,7,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,1,n,3564,euclidean,majority,10,8,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,1,n,3564,euclidean,majority,10,9,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,1,n,3564,euclidean,inverse_square,10,0,0.46851385390428213,0.46851385390428213,0.46851385390428213,0.46851385390428213
wine_quality_white,1,n,3564,euclidean,inverse_square,10,1,0.4621212121212121,0.4621212121212121,0.4621212121212121,0.4621212121212121
wine_quality_white,1,n,3564,euclidean,inverse_square,10,2,0.48737373737373735,0.48737373737373735,0.48737373737373735,0.48737373737373735
wine_quality_white,1,n,3564,euclidean,inverse_square,10,3,0.48737373737373735,0.48737373737373735,0.48737373737373735,0.48737373737373735
wine_quality_white,1,n,3564,euclidean,inverse_square,10,4,0.4823232323232323,0.4823232323232323,0.4823232323232323,0.4823232323232323
wine_quality_white,1,n,3564,euclidean,inverse_square,10,5,0.4671717171717172,0.4671717171717172,0.4671717171717172,0.4671717171717172
wine_quality_white,1,n,3564,euclidean,inverse_square,10,6,0.49242424242424243,0.49242424242424243,0.49242424242424243,0.49242424242424243
wine_quality_white,1,n,3564,euclidean,inverse_square,10,7,0.4595959595959596,0.4595959595959596,0.4595959595959596,0.4595959595959596
wine_quality_white,1,n,3564,euclidean,inverse_square,10,8,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,1,n,3564,euclidean,inverse_square,10,9,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,0,0.40302267002518893,0.40302267002518893,0.40302267002518893,0.4030226700251889
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,1,0.3434343434343434,0.3434343434343434,0.3434343434343434,0.3434343434343434
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,2,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,3,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354
