dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
spambase,0,n,3789,euclidean,majority,10,0,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,1,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,2,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,3,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,4,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,5,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,6,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,7,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,8,0.6009501187648456,0.0,0.0,0.0
spambase,0,n,3789,euclidean,majority,10,9,0.6033254156769596,0.0,0.0,0.0
spambase,0,n,3789,euclidean,inverse_square,10,0,0.7363420427553444,1.0,0.3392857142857143,0.5066666666666666
spambase,0,n,3789,euclidean,inverse_square,10,1,0.7505938242280285,0.9701492537313433,0.3869047619047619,0.5531914893617021
spambase,0,n,3789,euclidean,inverse_square,10,2,0.7482185273159145,1.0,0.36904761904761907,0.5391304347826087
spambase,0,n,3789,euclidean,inverse_square,10,3,0.7529691211401425,0.9705882352941176,0.39285714285714285,0.559322033898305
spambase,0,n,3789,euclidean,inverse_square,10,4,0.7529691211401425,1.0,0.38095238095238093,0.5517241379310345
spambase,0,n,3789,euclidean,inverse_square,10,5,0.7339667458432304,0.9827586206896551,0.3392857142857143,0.504424778761062
spambase,0,n,3789,euclidean,inverse_square,10,6,0.7434679334916865,1.0,0.35714285714285715,0.5263157894736842
spambase,0,n,3789,euclidean,inverse_square,10,7,0.7339667458432304,1.0,0.3333333333333333,0.5
spambase,0,n,3789,euclidean,inverse_square,10,8,0.7600950118764845,1.0,0.39880952380952384,0.5702127659574469
spambase,0,n,3789,euclidean,inverse_square,10,9,0.7529691211401425,0.9701492537313433,0.38922155688622756,0.5555555555555556
spambase,0,n,3789,euclidean,averaged_inverse_square,10,0,0.8764845605700713,0.8717948717948718,0.8095238095238095,0.8395061728395062
spambase,0,n,3789,euclidean,averaged_inverse_square,10,1,0.8931116389548693,0.8397790055248618,0.9047619047619048,0.8710601719197708
spambase,0,n,3789,euclidean,averaged_inverse_square,10,2,0.8551068883610451,0.8322981366459627,0.7976190476190477,0.8145896656534954
spambase,0,n,3789,euclidean,averaged_inverse_square,10,3,0.8527315914489311,0.823170731707317,0.8035714285714286,0.8132530120481928
spambase,0,n,3789,euclidean,averaged_inverse_square,10,4,0.8741092636579573,0.8323699421965318,0.8571428571428571,0.8445747800586509
spambase,0,n,3789,euclidean,averaged_inverse_square,10,5,0.8456057007125891,0.8280254777070064,0.7738095238095238,0.7999999999999999
spambase,0,n,3789,euclidean,averaged_inverse_square,10,6,0.8836104513064132,0.8650306748466258,0.8392857142857143,0.851963746223565
spambase,0,n,3789,euclidean,averaged_inverse_square,10,7,0.8456057007125891,0.832258064516129,0.7678571428571429,0.7987616099071206
